,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
2894,WRC 7,https://www.igdb.com/games/wrc-7,Eighth Generation,Racing - Sport,Multiplayer - Single player,,World Rally Championship,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co24jw.jpg,75,"Take on the WRC’s 13 rallies and their faithfully reproduced environments. Embody the best drivers in the Championship behind the wheels of their new cars. On your own or online, take on the Epic Stages, face weekly challenges, and live the WRC experience like a pro!"
2895,WRC: FIA World Rally Championship,https://www.igdb.com/games/wrc-fia-world-rally-championship,Seventh Generation,Racing,Multiplayer - Single player - Split screen,,World Rally Championship,,https://images.igdb.com/igdb/image/upload/t_cover_big/azg76gsfluvwjeytsw7q.jpg,59,"WRC - FIA World Rally Championship is a car racing video game based on the 2010 season of the World Rally Championship (WRC). It is the first game to be officially licensed by the WRC since 2005's WRC: Rally Evolved, and is the seventh game to bear the WRC licence. The game was developed by Milestone S.r.l. and published by Black Bean Games. It was released in Australia on October 7, 2010, October 8, 2010 in Europe, and April 14, 2011 in Japan for Microsoft Windows, PlayStation 3 and Xbox 360 platforms.[1] The developer had also created Superstars V8 Racing and Alfa Romeo Racing Italiano.It features the official cars, drivers and co-drivers from the 2010 season and from the three support classes: Production World Rally Championship, Super 2000 World Rally Championship and Junior World Rally Championship. The game therefore includes 13 rallies, including Rally Finland and Rally de Portugal. 550 km of stages are included, split up into 78 special stages.There is also a downloadable car pack featuring many Group B rally cars from the 1980s available via Xbox Live Marketplace and the PlayStation Store.Car models contain around 50,000 polygons.[2] The PC version of the game does not support Multiplayer LAN mode, it supports single player, a party mode on the same PC and Online Multiplayer using a GameSpy account.ReceptionAggregate scoresAggregator ScoreGameRankings 65.82%[3]Metacritic 68/100[4]Review scoresPublication ScoreEurogamer 80%GamesMaster 79%GameSpot 6.5/10IGN 70%OPM (UK) 7/10OPM (AU) 80%Play 76%[5]PSM3 63%The game had mixed reviews. It was summarised as ""a true rally simulation. Despite the technical issues, WRC gives good driving sensations and a perfect feeling of the terrain"", and noted that ""It's no Richard Burns Rally and nor does it hold a light to Codemasters' DiRT games, but WRC is a surprisingly enjoyable take on the sport that gets the fundamentals right."" It got to number 9 in the UK sales charts.[6]"
2896,WRC: Rally Evolved,https://www.igdb.com/games/wrc-rally-evolved,Sixth Generation,Racing,Multiplayer - Single player,,World Rally Championship,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co26td.jpg,60,"Taste the physical extremes of rally driving and battle your way past your opponents in grueling multi-car wheel-to-wheel racing. Prepare for the unexpected as driver and co-driver negotiate on-track dangers - evade the wreckage of rival cars, navigate through flooded stages, and dodge crumbling walls and tumbling rocks. More cars than ever before from rally's past, present and future are brought to life in realistically interactive surroundings - drive over 40 awesome vehicles through rivers, raging fires, dense smoke and debris strewn terrain."
2897,WTA Tour Tennis,https://www.igdb.com/games/wta-tour-tennis,Fifth Generation,Sport,Single player - Split screen,,WTA Tour,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/gy7hasbok0l69irvbgmq.jpg,69,"Use the amazing combo of moves provided to outwit the world's great female players. Also, this game features different court surfaces, which also affect the bounce and spin of the ball. Singles and Double friendlies can be played against any of the WTA stars. Four major tournaments are offered, success in which will see the player rising through the WTA ranks."
2898,WWE '13,https://www.igdb.com/games/wwe-13,Seventh Generation,Fighting - Platform - Sport - Strategy,Multiplayer - Single player - Split screen,,WWE SmackDown vs. Raw,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/uu4hzysgenu89vauyznr.jpg,73,"WWE '13 is an upcoming professional wrestling video game being developed by Yuke's and published by THQ for the PlayStation 3, Wii, Xbox 360.[1] It will be the second game in the WWE series and the fifteenth overall in the combined series. It is the sequel to WWE '12, and will be released on October 30, 2012 in North America and November 2, 2012 in United Kingdom.[2]The game focuses on the Attitude Era of the WWF, replacing its Road to WrestleMania Mode with an Attitude Era Mode where the player plays through the Attitude Era. The game gives such characters as Stone Cold Steve Austin and elements as the Monday Night Wars a more important role in the game than in any previous WWE game.[3]"
2899,WWE 2K15,https://www.igdb.com/games/wwe-2k15,Seventh Generation,Simulator - Sport,Multiplayer - Single player,Non-fiction,WWE SmackDown vs. Raw,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/byw61gdedfxudupxz4ow.jpg,53,The next generation of WWE video games has arrived! WWE 2K15 will usher in a new era of WWE video games and deliver the gaming experience that fans have sought for generations!
2900,WWE 2K16,https://www.igdb.com/games/wwe-2k16,Seventh Generation,Simulator - Sport,Co-operative - Multiplayer - Single player,,WWE SmackDown vs. Raw,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xp7.jpg,66,"Get in the ring and Raise Some Hell with WWE 2K16 The undisputed champion of wrestling video games with the biggest roster in WWE games history. Play as your favourite Superstars from the past, present and future and experience the most authentic, comprehensive, in-your-face WWE video game of all-time."
2901,WWE 2K17,https://www.igdb.com/games/wwe-2k17,Seventh Generation,Simulator - Sport,Co-operative - Multiplayer - Single player,Action - Non-fiction,WWE,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co24js.jpg,61,"Welcome to Suplex City, courtesy of cover Superstar Brock Lesnar! WWE 2K17 arrives as the reigning and defending flagship WWE video game franchise champion! WWE 2K17 features stunning graphics, ultra-authentic gameplay and a massive roster of WWE and NXT's popular Superstars and Legends.Experience the most authentic WWE gameplay ever, featuring thousands of new moves and animations, backstage and in-arena brawling, and the biggest roster of WWE and NXT Superstars and Legends to date."
2902,WWE 2K19,https://www.igdb.com/games/wwe-2k19,Eighth Generation,Simulator - Sport,Co-operative - Multiplayer - Single player,Non-fiction,WWE,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co27gl.jpg,72,"WWE 2K19 arrives as the latest entry to the flagship WWE video game franchise and features cover Superstar AJ Styles. WWE 2K19 will showcase a massive roster of popular WWE Superstars, Legends and Hall of Famers, as well as NXT favorites. Experience authentic WWE gameplay, extensive creation options, engaging match types, fan-favorite modes and much more!"
2903,WWE 2K20,https://www.igdb.com/games/wwe-2k20,Eighth Generation,Simulator - Sport,Co-operative - Multiplayer - Single player,Non-fiction,WWE 2K,Side view - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sbq.jpg,45,"2K invites players to Step Inside the squared circle with WWE 2K20, available October 22. Your favorite WWE Superstars, Legends, Hall of Famers and NXT’s best will join the festivities and celebrate the rebirth of the WWE 2K franchise! WWE 2K20 will feature key gameplay improvements, streamlined controls, and the most fun and creatively expansive entry in the franchise to date. WWE 2K20 will also feature a brand-new 2K Showcase focused on the story of the Four Horsewomen/Women’s Evolution, the return of 2K Towers, an all-new MyCAREER that prominently features both male and female playable characters, and Mixed Tag Matches featuring male and female competitors."
2904,WWE Day of Reckoning,https://www.igdb.com/games/wwe-day-of-reckoning,Sixth Generation,Fighting - Sport,Single player - Split screen,Action,WWE,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1pex.jpg,80,"Hit the ropes against WWE's top superstars in WWE Day of Reckoning, which features an all-new story mode filled with deception and betrayal. As your own created wrestler, you can rise up the ranks from the ""minor leagues"" of sports entertainment all the way to prime-time WWE programming. You can choose your favorite WWE Divas and go head-to-head in a Bra & Panties match. Each wrestling star, including Legends, can target specific body parts to wear down opponents."
2905,WWE Day of Reckoning 2,https://www.igdb.com/games/wwe-day-of-reckoning-2,Sixth Generation,Fighting - Sport,Single player - Split screen,Action,WWE,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1pey.jpg,74,"THIS LINE BETWEEN FRIEND AND FOE IS NOT ALWAYS CLEARTHIS TIME, TRUST NO ONE!FEATURESIMPROVED GRAPHICSSee the emotion on each WWE Superstar's face like never before and experience all-new ""beyond broadcast"" camera anglesNEW AND LONGER STORY MODENow a proven force in the WWE, take your created superstar on a continuing journey of deception and vindicationENHANCED FIGHTING SYSTEMExclusive skill based submission system, all-new stamina system, improved AI tactics and new assisted defense system allow for more realistic matchesNEW WWE LEGENDSHulk Hogan, ""Stone Cold"" Steve Austin, Mankind, Bret ""The Hitman"" Hart and The Rock-CONTINUING STORYLINES-NEW WWE LEGENDS-ALL NEW STAMINA SYSTEM"
2906,WWE SmackDown vs. Raw 2011,https://www.igdb.com/games/wwe-smackdown-vs-raw-2011,Fifth Generation,Fighting - Sport,Multiplayer - Single player,Action,WWE SmackDown vs. Raw,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/cfycfdcleghdyxhqunlq.jpg,70,"WWE SmackDown vs. Raw 2011 will empower players more than ever to define their destiny and gameplay experiences in a dynamic and ever-changing WWE. Along the way, your decisions will decide gameplay scenarios, allowing for more spontaneous WWE action in and out of the ring. Enjoy a greater level of interactivity that allows you to customize your WWE experience and control your destinies in all-new Road to WrestleMania story-driven campaigns.You've seen the Superstars' greatest moments on WWE programming. You’ve shared them and lived through them on television, on the web, and at the arenas. Now, it's time for you to define your ultimate WWE moment, in the most interactive experience in the WWE Universe. This is your moment."
2907,WWE SmackDown vs. Raw 2007,https://www.igdb.com/games/wwe-smackdown-vs-raw-2007,Fifth Generation,Fighting - Sport,Multiplayer - Single player - Split screen,,WWE SmackDown vs. Raw,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/kvcsiwzr8e2olzv7gugw.jpg,78,"A brand new Analog Control System makes fighting more realistic than ever with intuitive movement and new elements of control. An enhanced Season Mode provides multiple branching storylines and unprecedented levels of player choice. In and out of the ring, dozens of user-controlled environmental hotspots let players take advantage of anything at their disposal to inflict damage on opponents in new and unique ways. Additionally, new high impact combination moves let players take the power of WWE Superstars into their own hands. Experience the intensity of WWE fans in a brand new, fully loaded interactive fighting area. Players can take advantage of multiple weapons, environmental damage and grabbing signs and weapons from the crowd. WWE SmackDown vs. RAW 2007 offers multiple enhancements, including incredible high definition graphics, updated rosters for both RAW and SmackDown, an expanded General Manager Mode, online multiplayer game play with voice chat support and more."
2908,WWE SmackDown vs. Raw 2011,https://www.igdb.com/games/wwe-smackdown-vs-raw-2011,Fifth Generation,Fighting - Sport,Multiplayer - Single player,Action,WWE SmackDown vs. Raw,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/cfycfdcleghdyxhqunlq.jpg,70,"WWE SmackDown vs. Raw 2011 will empower players more than ever to define their destiny and gameplay experiences in a dynamic and ever-changing WWE. Along the way, your decisions will decide gameplay scenarios, allowing for more spontaneous WWE action in and out of the ring. Enjoy a greater level of interactivity that allows you to customize your WWE experience and control your destinies in all-new Road to WrestleMania story-driven campaigns.You've seen the Superstars' greatest moments on WWE programming. You’ve shared them and lived through them on television, on the web, and at the arenas. Now, it's time for you to define your ultimate WWE moment, in the most interactive experience in the WWE Universe. This is your moment."
2909,WWE SmackDown vs. Raw 2010,https://www.igdb.com/games/wwe-smackdown-vs-raw-2010,Fifth Generation,Fighting - Sport,Multiplayer - Single player - Split screen,,WWE SmackDown vs. Raw,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/lpthxsjse2hgr4gdkch3.jpg,65,"The best-selling fighting videogame franchise returns to the virtual ring with the most authentic, entertaining and compelling simulation of WWE programming to date. Featuring unparalleled creation tools, a robust Superstar roster, key franchise improvements and a few surprises, WWE SmackDown vs. Raw 2010 delivers the empowering freedom to create, customize and share gameplay experiences. It's your world now."
2910,WWE WrestleMania XIX,https://www.igdb.com/games/wwe-wrestlemania-xix,Sixth Generation,Fighting - Sport,Single player - Split screen,Action,WWE,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/lymmf1ipofgzoozmjnxh.jpg,85,"The Main Event!All the biggest names in the WWE, including The Rock, Steve Austin, Goldberg, Hulk Hogan and Vince McMahon vie for the WrestleMania XIX title in a story of revenge.In the world of professional wrestling, main events don't get any bigger than Wrestlemania. With the GCN release of THQ's Wrestlemania XIX, WWE fans can take a crack at the coveted title belt. Wrestlemania XIX features a Rikishi-sized mass of improvements over last year's title, including an all-new story mode and improved gameplay."
2911,WWF Raw,https://www.igdb.com/games/wwf-raw,Third Generation,Sport,Multiplayer - Single player,,WWE,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co2jae.jpg,65,"Raw™ slams your senses with 24 megs of the most ruthless mat mayhem ever! The hottest superstars, all new superhumans megamoves and more in-and-out-of-the-ring action stand between you and the championship belt. This Raw™. and RAW IS WAR!"
2912,Call of Duty: WWII,https://www.igdb.com/games/call-of-duty-wwii,Eighth Generation,Shooter,Co-operative - Multiplayer - Single player,Action - Historical - Warfare,Call of Duty,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rdj.jpg,75,"Call of Duty: WWII creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments."
2913,Wakeboarding Unleashed Featuring Shaun Murray,https://www.igdb.com/games/wakeboarding-unleashed-featuring-shaun-murray,Fifth Generation,Sport,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1onw.jpg,73,"Wakeboarding is part of Activision's line of Extreme Sports titles. A rider (using a board that's like a combination of a surf board, body board and skateboard) is pulled along the water by rope at high speeds by the boat up front, and must pull of tricks either by jumping of jumps or using the wake left by the boat itself (hence the sport's name).Unleashed takes this sport and turns it upside down, allowing you to fly down water ways through well known locations around the world, pulling stunts off buildings or cliff faces. Other objectives are included that have you completing tasks and busting tricks in a unique way.Multiplayer modes include one-on-one trick attack and horse, where both players compete against each other to pull off the best tricks. Co-operative mode has one player driving the boat while the other hangs on behind, with new challenges for the boat driver to complete as well as the rider."
2914,Wakeboarding Unleashed Featuring Shaun Murray,https://www.igdb.com/games/wakeboarding-unleashed-featuring-shaun-murray,Fifth Generation,Sport,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1onw.jpg,73,"Wakeboarding is part of Activision's line of Extreme Sports titles. A rider (using a board that's like a combination of a surf board, body board and skateboard) is pulled along the water by rope at high speeds by the boat up front, and must pull of tricks either by jumping of jumps or using the wake left by the boat itself (hence the sport's name).Unleashed takes this sport and turns it upside down, allowing you to fly down water ways through well known locations around the world, pulling stunts off buildings or cliff faces. Other objectives are included that have you completing tasks and busting tricks in a unique way.Multiplayer modes include one-on-one trick attack and horse, where both players compete against each other to pull off the best tricks. Co-operative mode has one player driving the boat while the other hangs on behind, with new challenges for the boat driver to complete as well as the rider."
2915,Dark Souls III,https://www.igdb.com/games/dark-souls-iii,Eighth Generation,Adventure - Role-playing (RPG),Co-operative - Multiplayer - Single player,Action - Fantasy - Historical - Open world,Dark Souls,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1vcf.jpg,86,"As fires fade and the world falls into ruin, developer FROMSOFTWARE and director Hidetaka Miyazaki continue their critically-acclaimed and genre-defining series with Dark Souls III. Fans and newcomers alike will get lost in the games hallmark rewarding gameplay and immersive graphics. Now only embers remain…"
2916,Walt Disney World Quest: Magical Racing Tour,https://www.igdb.com/games/walt-disney-world-quest-magical-racing-tour,Fourth Generation,Racing,Multiplayer - Single player - Split screen,,Mickey Mouse,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w9g.jpg,80,"Walt Disney World Quest Magical Racing Tour boasts more playable characters than any kart racer before it (a total of 13 are offered), and each of the game's tracks allows you to maneuver a different vehicle. Instead of being confined to just a go-kart, you'll get a bobsled, or a rocket ship, and several others. Collect a myriad of power-ups to your vehicle such as Mickey coins which allow you to race a little faster with each additional coin you collect. Or use the guided bottle rocket to get a speed boost and home in on your opponent. You can also collect items that can be used against your opponents like the frog spell, which will leave them hopping in your dust. Or launch an acorn at them and send them flying out of control."
2917,Wanted: Weapons of Fate,https://www.igdb.com/games/wanted-weapons-of-fate,Seventh Generation,Shooter,Single player,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/mmapfevics19h8xjmxni.jpg,64,"Wanted: Weapons of Fate is a video game developed by Grin and published by Warner Bros. Interactive and distributed by Universal Studios based on the film of the same name. It was released for Microsoft Windows, PlayStation 3 and Xbox 360"
2918,War Gods,https://www.igdb.com/games/war-gods,Second Generation,Arcade - Fighting,Single player - Split screen,Action - Historical - Science fiction,,Side view - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/si2i3tlbal9r3l874esg.jpg,42,"Billions of years ago, a Being from a distant galaxy was transporting a precious cargo of life giving Ore. The turbulent formation of our solar system caused his ship to crash, scattering Ore over the molten surface of Planet Earth. Through the millennia, Ten Humans came into contact with the Ore and were transformed into super-evolved warriors. These are the WarGods."
2919,War Tech Fighters,https://www.igdb.com/games/war-tech-fighters,Eighth Generation,Shooter,Single player,Action - Science fiction,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co24ap.jpg,70,War Tech Fighters is a space action game where giant mechs battle against the Zatros empire in a desperate struggle for survival.
2920,War Of The Monsters,https://www.igdb.com/games/war-of-the-monsters,Sixth Generation,Fighting,Single player - Split screen,Action - Open world - Science fiction,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/gyxar0qirepvx2ubzuu9.jpg,80,"Get ready to embody the soul of a 100-foot tall monstrosity as you clash with opponents in thriving cities, run rampant through bustling streets, pulverize opponents with body slams and fight off military defenses. War of the Monsters enables you to re-live your favorite monster movies with ten different creatures engaging in all out carnage. Ten fully interactive environments offer numerous weapons, including steel girders, radio antenna, moving vehicles, building rubble, army tanks and more. Clobber opponents with thunderous uppercuts, hand-to-hand weapons and destructive special attacks. Use huge hunks of debris as a shield, topple buildings onto your foes or pick up and throw tanker trucks like toys. Take advantage of environmental attacks such as tidal waves and earthquakes to defeat your opponent and claim total domination."
2921,WarTech: Senko no Ronde,https://www.igdb.com/games/wartech-senko-no-ronde,Second Generation,Fighting - Shooter,Multiplayer - Single player,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/yhgucyx5bhh7wja2qyor.jpg,55,WarTech: Senko no Ronde thrusts the player into a distant future where humanity has colonized countless new galaxies and Earth has become a planet mined for its natural resources. A violent war has erupted as nations struggle for world domination. Rounder Mechs fill the skies as the fate of the world is determined through aerial combat.
2922,Wargroove,https://www.igdb.com/games/wargroove,Eighth Generation,Indie - Strategy - Tactical - Turn-based strategy (TBS),Co-operative - Multiplayer - Single player,Fantasy - Warfare,,Bird view / Isometric - Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1iv9.jpg,85,"Wargroove is a turn-based strategy game for up to 4 players, in which each player takes control of an army and its commander unit to wage war on their enemies! Wargroove is extremely easy to pickup, with accessibility at the forefront of its design, and very difficult to master, with deep gameplay mechanics that complement strategic play."
2923,"Warhammer 40,000: Kill Team",https://www.igdb.com/games/warhammer-40-000-kill-team,Seventh Generation,Arcade - Hack and slash/Beat 'em up - Shooter,Co-operative - Multiplayer - Single player,Action - Science fiction,,Bird view / Isometric - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/tlyuivqmgmkyl66rnx6a.jpg,70,"Warhammer 40,000: Kill Team is a top down view, perspective correct, 3d arcade shooter, with twin stick control set in the Warhammer 40,000 future fantasy universe. Players play as Space Marines attempting to halt an Ork invasion spaceship, facing orks and later, Tyranids on board. Four Space Marine classes are playable including ranged specialists like the Sternguard Veteran and Techmarine, and more melee focused classes like the Vanguard Veteran and Librarian. The game supports single player and same screen multiplayer modes.The game received average and favourable reviews on both platforms, being described as generally enjoyable or fun, but let down by a short campaign, lack of online multiplayer, and a limited appeal to non Warhammer:40,000 fans."
2924,"Warhammer 40,000: Mechanicus",https://www.igdb.com/games/warhammer-40000-mechanicus,Eighth Generation,Strategy - Tactical - Turn-based strategy (TBS),Single player,Science fiction,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1quf.jpg,77,"""Take control of one of the most technologically advanced armies in the Imperium - The Adeptus Mechanicus. As Magos Dominus Faustinius, you’ll lead the expedition on the newly rediscovered planet of Silva Tenebris. Manage resources, discover long-forgotten tech, plan tactical operations using the Noosphere technology and control your Tech-Priests every move.Your every decision will shape the missions ahead and ultimately decide the fate of the troops under your command. However, choose your path carefully - the Imperium depends on it."""
2925,Warhammer: Battle March,https://www.igdb.com/games/warhammer-battle-march--1,Seventh Generation,Real Time Strategy (RTS) - Strategy,Multiplayer - Single player,Action - Fantasy,Warhammer,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2a7p.jpg,60,"A console RTS based in the Game's Workshop's Warhammer universe. The game is notable for featuring no resource collection or classic RTS - style economy at all, and instead focusses on putting the player straight into the action. Fans of the table top game will notice that this game simulates a real time version of that same game."
2926,Warhammer: Chaosbane,https://www.igdb.com/games/warhammer-chaosbane,Eighth Generation,Hack and slash/Beat 'em up - Role-playing (RPG),Co-operative - Multiplayer - Single player - Split screen,Action - Fantasy,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2egg.jpg,65,"In a world ravaged by war and dominated by magic, you must rise up to face the Chaos hordes. Playing solo or with up to four in local or online co-op, choose a hero from four character classes and prepare for epic battles wielding some of the most powerful artefacts of the Old World."
2927,Warhammer: Shadow of the Horned Rat,https://www.igdb.com/games/warhammer-shadow-of-the-horned-rat--1,Fifth Generation,Real Time Strategy (RTS) - Strategy,Single player,Fantasy,Warhammer,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/ma5qx93nktqmunyndmdd.jpg,68,"Warhammer: Shadow of the Horned Rat offers over 25 different troop types, 20 spells and nine characteristics for each regiment: movement, weapon skill, ballistic skill, strength, toughness, wounds, initiative, attack and leadership ability. In order to save campaign progress, players must have a memory card with at least one block free.Battles consist of two phases: deployment and real-time fighting. Deployment allows you to position your regiments within an area designated by white flags. This involves turning them to face certain enemies, issuing orders to attack, move (including setting waypoints and patrol loops) or simply hold ground.Combat involves charging the enemy, using magical spells (if available) or firing long-range weapons, such as arrows or catapults. Of course, line of sight and terrain will influence how successful your attacks are, and the emotion level (fear, hatred or frenzy) as well as the experience of your troops will also play a significant role. Each battlefield can also hold various magic items that may help in future battles."
2928,Warhammer: Vermintide 2,https://www.igdb.com/games/warhammer-vermintide-2,Eighth Generation,Adventure - Indie - Shooter,Co-operative - Multiplayer - Single player,Action,Warhammer,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co20u8.jpg,81,Warhammer: Vermintide 2 is the sequel to the critically acclaimed Vermintide. It’s time for players to return to the memorable first-person co-op experience with intense world class melee action.
2929,Wario Land 4,https://www.igdb.com/games/wario-land-4,Fifth Generation,Platform - Puzzle,Single player,,Wario Land,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wpx.jpg,78,"Wario's back for more. and more. and MORE!Hey! You! Yeah, you! Listen up when Wario's talking to you! I just read about this legendary Pyramid of Gold, and you're gonna help me go explore it. There's lots of treasure in there for the taking, and I want it all. I'm sure there are gonna be all kinds of weird enemies and big, bad bosses in there, so if you don't think you can hack it, put the game down now. I don't want any losers making me jump into bottomless pits, you hear me?-Wario invades the Game Boy Advance! See Wario in all his greedy glory as he explores vivid worlds made possible by the power of the GBA!-Flex your muscles! Wario is no longer immortal, so you'll have your work cut out as you roll, punch and jump your way to tougher and tougher challenges. Wario will get stung by bees, zombified, bitten by bats, set on fire, and much more - what a way to make a living!-Over twenty enormous stages await! Hunt down CDs for your listening pleasure, or collect treasure to spend on all-new items that you can use against the most bizarre bosses ever!"
2930,Wario World,https://www.igdb.com/games/wario-world,Sixth Generation,Adventure - Hack and slash/Beat 'em up - Platform,Single player,Action,Wario,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co21c4.jpg,75,"While Wario enjoys the riches from his many adventures, a mysterious black jewel in his trove transforms gems into monsters. Now, Wario must scramble to recover his riches in an alternate world filled with quirky puzzles, swarming enemies, and lots of loot. As Wario, you'll punch, kick, jump, grab monsters and objects, and inhale surrounding coins like a vacuum cleaner. You must cling to 3D balls to fight bosses, find hidden areas through trap doors, and bash your surroundings to uncover secrets."
2931,"WarioWare, Inc.: Mega Microgames!",https://www.igdb.com/games/warioware-inc-mega-microgames,Fifth Generation,Sport,Single player,Action - Comedy,WarioWare,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wpz.jpg,91,Frantic action! Prepare for lightning-quick game play as you blaze through over 200 bizarre microgames designed by a crazy crew of Wario's cronies! There are even two-player contests that can be played on a single Game Boy Advance! Pick up and play! Ultra-simple controls make each game easy to get into. until the games start coming faster.  and faster. and FASTER!
2932,Warp,https://www.igdb.com/games/warp,Seventh Generation,Adventure - Indie - Puzzle - Turn-based strategy (TBS),Single player,Action - Historical - Science fiction - Stealth,Million Arthur,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/rsdguuir4xinoz07mnqb.jpg,71,"Warp is a strategic stealth-action puzzler where gamers play as Zero, a loveable yet lethal, little orange alien with a big score to settle. Abducted by a villainous General from his home world and taken to an underwater research facility, Zero must plan his ultimate escape by relying on his arsenal of special abilities."
2933,Warriors All-Stars,https://www.igdb.com/games/warriors-all-stars,Eighth Generation,Hack and slash/Beat 'em up,Multiplayer - Single player,Action - Fantasy - Historical,Musou,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u5d.jpg,72,"Musou Stars, released as Warriors All-Stars internationally, is a crossover game that features characters from multiple Koei Tecmo published franchises and games.Along with some original characters the game features characters, maps and enemies from multiple games/series's including: Atelier, Dead or Alive, Deception, Dynasty Warriors, Harukanaru Toki no Naka de, Ninja Gaiden, Opoona, Samurai Warriors, Toukiden, and Nioh.""Warriors All-Stars not only features an extensive battle system, but also an abundance of content for players to enjoy outside of combat! This includes the Sanctuary, which surrounds the game’s mighty Hot Springs. Within, players are able to take a break from the heat of battle to upgrade their Hero Cards and work on clan member relations by visiting the Sanctuary’s many locations – the Tavern, Inn, Refinery, Practice Arena and Headquarters. The Tavern and Inn are where many heroes can be found participating in their favorite activities, whether they’re spending time with friends or having a relaxing bath in the Hot Springs. As bonds between comrades strengthen, players are rewarded with unique cutscenes at the Sanctuary, providing a deeper insight into each character’s backstory.Stopping by the Refinery lets players enhance, create and sell Hero Cards found on the battlefield. Hero Cards are mystical objects that provide new skills and boost the abilities of the character they’re equipped on. And at the Practice Arena, Warriors can improve their stats by exchanging their hard-earned gold for experience points. Once players feel rejuvenated and ready to get back to the action, they can visit the Headquarters to accept missions for their clan and plot their next course of action on the World Map!"""
2934,Warriors Orochi 4,https://www.igdb.com/games/warriors-orochi-4,Eighth Generation,Hack and slash/Beat 'em up - Role-playing (RPG) - Tactical,Co-operative - Multiplayer - Single player - Split screen,Action - Historical - Warfare,Warriors Orochi,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1uun.jpg,78,"WARRIORS OROCHI 4 stars heroes from the DYNASTY WARRIORS and SAMURAI WARRIORS series. 170 playable characters, new magic elements and an all new story enhance the latest entry in this exciting tactical action series."
2935,DOOM Eternal,https://www.igdb.com/games/doom-eternal,Eighth Generation,Shooter,Multiplayer - Single player,Action - Horror,Doom,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1lvj.jpg,89,"Developed by id Software, DOOM Eternal is the direct sequel to DOOM (2016). Experience the ultimate combination of speed and power with the next leap in push-forward, first-person combat.As the DOOM Slayer, return to take your vengeance against the forces of Hell. Set to an all-new pulse pounding soundtrack composed by Mick Gordon, fight across dimensions as you slay new and classic demons with powerful new weapons and abilities."
